Title,type,country,date_added,release_year,rating,duration,description,IMDb,Genre,Avg Rating per Genre,Growth Outcome
Bromance,TV Show,Taiwan,2016-12-01,2015,TV-PG,1 Season,"Ya-nuo's been raised as a boy. Now at age 25, she's caught the eye of a triad leader's sister. But what happens when she reveals her true gender?",2.6,Comedy,6.34,0
Brooklyn's Finest,Movie,United States,2018-10-01,2009,R,133 min,"Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.",6.7,Drama,6.57,0
Brother,Movie,France,2019-11-22,2019,TV-MA,97 min,"Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",6.7,Drama,6.57,0
Brother's Shadow,Movie,United States,2017-09-01,2006,TV-MA,90 min,"After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother.",5.9,Drama,6.57,0
Brotherhood,TV Show,Brazil,2019-10-25,2019,TV-MA,1 Season,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.",7.6,Crime,7.41,1
Brown Nation,TV Show,United States,2016-11-15,2016,TV-14,1 Season,An Indian American man living with his artistic wife and contentious father-in-law struggles to handle his household and a foundering IT company.,6.9,Comedy,6.34,0
Bucket List,Movie,India,2018-11-05,2018,TV-14,129 min,"After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor.",5.9,Drama,6.57,0
Budapest,Movie,"France, Belgium",2019-03-01,2018,TV-MA,103 min,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary.",5.3,Comedy,6.34,0
Buddi,TV Show,"United Kingdom, China",2020-09-11,2020,TV-Y,2 Seasons,"The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship.",8.2,Children,6.47,0
Buddies,Movie,Brazil,2019-02-15,2012,TV-MA,103 min,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together.",6.7,Comedy,6.34,0
Buddy Thunderstruck,TV Show,United States,2017-03-10,2017,TV-Y7,1 Season,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",7.6,Comedy,6.34,0
Buffalo Boys,Movie,"Indonesia, Singapore",2019-04-12,2018,TV-MA,103 min,Two Indonesian brothers learn the ways of the American cowboy before returning home to avenge the murder of their father.,5.8,Action & Adventure,6.14,0
Bulbul Can Sing,Movie,India,2020-01-15,2018,TV-14,95 min,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.",6.8,Drama,6.57,0
Bullet Head,Movie,"Bulgaria, United States",2018-03-07,2017,R,94 min,"After a daring heist, three fugitives lock themselves in a warehouse hoping to evade the police, but find a worse threat as they fight to stay alive.",5.4,Thrillers,5.85,0
Bulletproof 2,Movie,United States,2020-01-09,2020,TV-MA,97 min,A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.,3.5,Comedy,6.34,0
Bumping Mics with Jeff Ross & Dave Attell,TV Show,United States,2018-11-27,2018,TV-MA,1 Season,"When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend.",7.7,Comedy,6.34,0
Burlesque,Movie,United States,2019-12-16,2010,PG-13,119 min,"After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",6.4,Drama,6.57,0
Burlesque: Heart of the Glitter Tribe,Movie,United States,2017-06-01,2017,TV-MA,76 min,"This revealing documentary probes the onstage personas of Portland, Oregon, burlesque performers who practice wildly different art forms.",5.8,Documentaries,7.03,0
Burn Out,Movie,"France, Belgium",2019-03-15,2017,TV-MA,104 min,"When his son's mom runs afoul of Paris's criminal underworld, a thrill-seeking superbike racer begins moonlighting as a drug courier to clear her debt.",6.2,Action & Adventure,6.14,0
Burning,Movie,"South Korea, Japan",2019-04-29,2018,TV-MA,148 min,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.,7.5,Drama,6.57,0
Burning Cane,Movie,United States,2019-11-06,2019,TV-MA,78 min,"A small-town Louisiana minister and one of his parishioners cope with grief, alcoholism and a crisis of faith in this dramatic character study.",5.5,Drama,6.57,0
Burning Sands,Movie,United States,2017-03-10,2017,TV-MA,102 min,Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.,6.1,Drama,6.57,0
Burnistoun,TV Show,United Kingdom,2019-10-01,2012,TV-MA,2 Seasons,"This sketch series focuses on the eccentric characters in a small Scottish town, including bumbling cops, ""DJ Jesus"" and a disgruntled serial killer.",7.9,Comedy,6.34,0
Bushwick,Movie,United States,2017-11-24,2017,TV-MA,94 min,"When their diverse neighborhood is besieged by a mysterious militia, a grad student and an ex-Marine become an unlikely team in a battle for survival.",5.2,Action & Adventure,6.14,0
Busted!,TV Show,South Korea,2019-11-08,2019,TV-14,2 Seasons,"Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?",7.5,Crime,7.41,1
Buster's Mal Heart,Movie,United States,2017-08-26,2016,TV-MA,98 min,"On the run from authorities, a troubled man recalls the mysterious events – and the strange drifter – that inspired his unusual transformation.",6.1,Thrillers,5.85,0
BuyBust,Movie,Philippines,2018-11-13,2018,TV-MA,128 min,"In a mazelike Manila slum, at war with incensed civilians and a brutal cartel, special agent Nina Manigan must fight her way through one fierce night.",5.8,Action & Adventure,6.14,0
By the Sea,Movie,"France, Malta, United States",2020-02-16,2015,R,122 min,"Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.",5.3,Drama,6.57,0
Bygones Be Bygones,Movie,Turkey,2019-10-11,2017,TV-MA,104 min,A mother's plan to find her bachelor son a match derails when a new prospect turns up and sinister schemes unfold.,6.3,Comedy,6.34,0
Bypass Road,Movie,India,2020-03-15,2019,TV-14,135 min,"On the night his ex-lover mysteriously dies, a top fashion designer has a serious accident, raising questions on whether the incidents are linked.",5.4,Thrillers,5.85,0
C Kkompany,Movie,India,2019-05-31,2008,TV-14,127 min,"To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities.",5.4,Comedy,6.34,0
Cabin Fever,Movie,United States,2019-06-06,2016,R,98 min,"As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next.",3.7,Horror,5.52,0
Cabins in the Wild with Dick Strawbridge,TV Show,United Kingdom,2018-09-15,2017,TV-PG,1 Season,"Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own.",6.6,Reality,6.48,0
Cable Girls,TV Show,Spain,2020-07-03,2019,TV-MA,6 Seasons,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace.",7.7,Romance,7.08,0
Cagaster of an Insect Cage,TV Show,Japan,2020-02-06,2020,TV-MA,1 Season,"Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother.",6.1,Anime,7.67,1
Cain and Abel,TV Show,South Korea,2019-03-12,2009,TV-MA,1 Season,Gifted doctor Cho-in leads a charmed life while his older brother Seon-woo seethes with jealousy in this series inspired by Biblical characters.,7.7,Romance,7.08,0
Calendar Girls,Movie,India,2017-10-15,2015,TV-14,126 min,Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,4.2,Drama,6.57,0
Calibre,Movie,United Kingdom,2018-06-29,2018,TV-MA,101 min,Two lifelong friends on a hunting trip in Scotland find their nerves – and their morals – ruthlessly tested after a harrowing turn of events.,6.7,Drama,6.57,0
Caliphate,TV Show,Sweden,2020-03-18,2020,TV-MA,1 Season,"An impending ISIS attack on Sweden entangles a group of women, including a mother in a bind, a spirited student and an ambitious cop.",8.2,Drama,6.57,0
Call the Midwife,TV Show,United Kingdom,2020-09-15,2020,TV-MA,9 Seasons,This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.,8.4,Drama,6.57,0
Cam,Movie,United States,2018-11-16,2018,TV-MA,95 min,"After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity.",5.9,Horror,5.52,0
Camarón: The Film,Movie,Spain,2018-07-18,2018,TV-14,105 min,"This documentary looks back on the life of legendary flamenco singer Camarón, who went from humble roots to rock star status to a tragic early death.",7.3,Documentaries,7.03,0
Camera Store,Movie,United States,2017-08-20,2016,TV-MA,104 min,"With the digital revolution just around the corner, the employees of Bibideaux camera store strive to stay relevant amid unstoppable change.",5.6,Comedy,6.34,0
Can We Get Married?,TV Show,South Korea,2017-05-22,2012,TV-14,1 Season,"On the cusp of marriage or divorce, four couples consider the meaning of love, sharing a life, meddling families and the weight of their commitment.",6.7,Romance,7.08,0
"Can't Cope, Won't Cope",TV Show,Ireland,2020-05-28,2018,TV-MA,2 Seasons,"In Dublin, friends Aisling and Danielle must come to terms with adulthood when their millennial hijinks and hangovers begin to wear off.",7.3,Comedy,6.34,0
Can't Hardly Wait,Movie,United States,2021-01-01,1998,PG-13,101 min,"At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.",6.5,Comedy,6.34,0
Can't Help Falling in Love,Movie,Philippines,2019-02-27,2017,TV-14,120 min,"Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger.",7.2,Comedy,6.34,0
Candy Jar,Movie,United States,2018-04-27,2018,TV-14,93 min,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,5.8,Drama,6.57,0
Candyflip,Movie,India,2019-02-15,2017,TV-MA,104 min,"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",6.1,Drama,6.57,0
Candyman,Movie,"United States, United Kingdom",2019-10-01,1992,R,99 min,"Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him.",6.6,Horror,5.52,0
Cannabis,TV Show,France,2016-12-15,2016,TV-MA,1 Season,"When a huge marijuana shipment falls prey to thieves, the aftermath touches players from all ranks of the drug trade between Morocco and Europe.",6.9,Crime,7.41,1
Cappuccino,Movie,India,2018-07-01,2017,TV-PG,126 min,"Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha, a woman he soon falls in love with.",3.8,Comedy,6.34,0
Captive,TV Show,United Kingdom,2016-12-09,2016,TV-MA,1 Season,"This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals.",7.0,Crime,7.41,1
Carbon,Movie,"France, Belgium",2018-09-01,2017,TV-MA,104 min,"On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.",6.9,Drama,6.57,0
Cardboard Gangsters,Movie,Ireland,2018-09-15,2016,TV-MA,92 min,"A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path.",6.4,Drama,6.57,0
Care Bears: Welcome to Care-a-Lot,TV Show,United States,2019-08-02,2012,TV-Y,1 Season,"Nestled in a faraway cloud is a rainbow-colored world called Care-a-Lot, home to the magical Care Bears who each have a special talent.",5.4,Children,6.47,0
Caregiver,Movie,Philippines,2019-03-05,2008,TV-14,131 min,"Sarah leaves her son in the Philippines to reunite with her husband in London, where she struggles personally and professionally as a care-home worker.",6.3,Drama,6.57,0
Cargo,Movie,India,2020-09-09,2020,TV-14,113 min,"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.",6.3,Comedy,6.34,0
Carlos Ballarta: Furia Ñera,Movie,Mexico,2018-05-11,2018,TV-MA,63 min,Mexican comic Carlos Ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife's pregnancies to avoid commitments.,7.2,Comedy,6.34,0
Carmen Sandiego,TV Show,United States,2021-01-15,2021,TV-Y7,4 Seasons,"A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks.",7.9,Children,6.47,0
Carmen Sandiego: To Steal or Not to Steal,Movie,"Canada, United States",2020-03-10,2020,TV-Y7,82 min,"You drive the action in this interactive adventure, helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.",6.8,Children,6.47,0
Carrie,Movie,United States,2019-06-01,1976,R,98 min,"An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.",5.5,Horror,5.52,0
Carrie Pilby,Movie,United States,2017-09-05,2016,TV-MA,98 min,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",6.6,Comedy,6.34,0
Carriers,Movie,United States,2019-11-20,2009,PG-13,85 min,"As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",6.0,Horror,5.52,0
Casablancas: The Man Who Loved Women,Movie,France,2017-01-13,2016,TV-14,82 min,The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel.,6.2,Documentaries,7.03,0
Case,TV Show,Iceland,2016-11-09,2015,TV-MA,1 Season,A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.,7.2,Crime,7.41,1
Case Closed,TV Show,Japan,2019-01-04,2015,TV-14,1 Season,"Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him.",8.4,Crime,7.41,1
Casino Tycoon,Movie,Hong Kong,2018-08-01,1992,TV-MA,125 min,"When Japanese troops invade Hong Kong, young Benny Ho flees to Macau and rises to the top of the city's casino business with pluck, diligence and wit.",6.0,Drama,6.57,0
Casting JonBenet,Movie,"United States, Australia, China",2017-04-28,2017,TV-14,81 min,Local actors from JonBenet Ramsey's hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case.,6.1,Documentaries,7.03,0
Castlevania,TV Show,United States,2020-03-05,2020,TV-MA,3 Seasons,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.,8.2,Horror,5.52,0
Catching Feelings,Movie,South Africa,2018-05-18,2018,TV-MA,117 min,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author.",5.6,Comedy,6.34,0
Catfight,Movie,United States,2017-06-01,2016,TV-MA,96 min,Two college frenemies whose lives aren't what they hoped meet up decades later and escalate their resentments from verbal jabs to bloody brawls.,5.8,Comedy,6.34,0
Cathedral of the Sea,TV Show,Spain,2018-08-31,2017,TV-MA,1 Season,"In 14th-century Barcelona, a serf's determined climb to wealth and freedom incurs the disdain of the noble class and the suspicion of the Inquisition.",7.5,Drama,6.57,0
Cats & Dogs: The Revenge of Kitty Galore,Movie,"United States, Australia",2019-02-01,2010,PG,82 min,Cats and dogs must set aside their differences and merge animal instincts when Kitty Galore decides to claw her way to global domination.,4.3,Comedy,6.34,0
Cave,Movie,Norway,2017-06-15,2016,TV-MA,77 min,"Torn between old camaraderie and recent tensions, three ex-soldiers reunite to explore a deadly cave but soon discover terror beyond all expectations.",4.2,Action & Adventure,6.14,0
Cedric the Entertainer: Live from the Ville,Movie,United States,2016-09-16,2016,TV-MA,60 min,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""",5.9,Comedy,6.34,0
Cells at Work!,TV Show,Japan,2020-01-01,2018,TV-PG,1 Season,"One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!",7.6,Teen,7.18,0
Center Stage,Movie,United States,2020-01-01,2000,PG-13,116 min,"Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",6.7,Drama,6.57,0
Chaahat,Movie,India,2017-05-01,1996,TV-14,148 min,A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.,5.5,Drama,6.57,0
Chadi Jawani Budhe Nu,Movie,India,2017-09-01,1976,TV-PG,135 min,"After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress.",4.5,Comedy,6.34,0
Chal Bhaag,Movie,India,2018-12-01,2014,TV-14,110 min,Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.,4.3,Comedy,6.34,0
Chalay Thay Saath,Movie,Pakistan,2018-05-15,2017,TV-14,118 min,Beautiful and adventurous doctor Resham meets a handsome Chinese backpacker named Adam while traveling with friends on a journey of self-discovery.,6.7,Comedy,6.34,0
Chalte Chalte,Movie,India,2018-07-01,2003,TV-14,166 min,"Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love.",6.6,Drama,6.57,0
Chamatkar,Movie,India,2017-05-15,1992,TV-14,164 min,"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other.",6.6,Comedy,6.34,0
Chambers,TV Show,United States,2019-04-26,2019,TV-MA,1 Season,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death.",6.5,Teen,7.18,0
Chameli,Movie,India,2019-02-15,2004,TV-14,102 min,"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night.",7.0,Drama,6.57,0
Champions,TV Show,United States,2019-03-08,2018,TV-14,1 Season,"Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time.",6.0,Comedy,6.34,0
Chance Pe Dance,Movie,India,2018-11-01,2010,TV-14,121 min,"Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame.",4.7,Comedy,6.34,0
Chandani: The Daughter of the Elephant Whisperer,Movie,"Germany, Sri Lanka",2017-03-01,2010,TV-G,87 min,A girl who wants to be an elephant driver like her father is given the chance to raise a calf and becomes even more determined when it's taken away.,7.1,Documentaries,7.03,0
Change in the Air,Movie,United States,2020-03-01,2018,PG,95 min,"When a secretive woman breezes into a quiet town, her subdued neighbors get swept up in curiosity over her ethereal presence.",5.4,Drama,6.57,0
Chaotic Love Poems,Movie,Indonesia,2019-01-05,2016,TV-14,86 min,"Spanning the 1970s, ‘80s and ‘90s, this lyrical love story of two childhood neighbors plays out amidst a rapidly evolving Indonesia.",6.5,Drama,6.57,0
Chappaquiddick,Movie,"United States, Sweden",2018-10-01,2017,PG-13,106 min,Senator Ted Kennedy watches his future unravel in the wake of an infamous car crash as family and allies vie to protect his reputation.,6.5,Drama,6.57,0
Charlie and the Chocolate Factory,Movie,"United Kingdom, United States",2020-01-01,2005,PG,115 min,The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,6.6,Comedy,6.34,0
Charlie's Colorforms City,TV Show,United States,2019-03-22,2019,TV-Y,1 Season,"Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West – and right at home.",8.0,Children,6.47,0
Charmed,TV Show,United States,2020-05-09,2019,TV-14,2 Seasons,"After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",7.1,Drama,6.57,0
Charmed,TV Show,United States,2020-05-09,2019,TV-14,2 Seasons,"After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",4.5,Drama,6.57,0
Chashme Baddoor,Movie,India,2020-07-05,2013,TV-14,121 min,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",5.4,Comedy,6.34,0
Chasing Amy,Movie,United States,2020-01-01,1997,R,113 min,"Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.",7.2,Comedy,6.34,0
Chasing Cameron,TV Show,United States,2016-12-27,2016,TV-14,1 Season,Go behind the scenes with social media sensation Cameron Dallas as he takes his career to the next level on an international tour.,3.6,Teen,7.18,0
Chasing Coral,Movie,United States,2017-07-14,2017,TV-PG,89 min,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.",8.1,Documentaries,7.03,0
Chasing Trane,Movie,United States,2017-11-13,2016,TV-PG,99 min,"Featuring interviews, insights and archival footage, this documentary aims to reveal how historical events shaped the music of John Coltrane.",7.3,Documentaries,7.03,0
Cheer,TV Show,United States,2020-01-08,2020,TV-MA,1 Season,This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.,8.2,Documentaries,7.03,0
Cheer Squad,TV Show,United States,2017-03-14,2016,TV-PG,1 Season,"Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships.",7.3,Teen,7.18,0
Cheers,TV Show,United States,2017-07-01,1992,TV-PG,11 Seasons,"Sam Malone, an ex-baseball player turned bar owner, operates a saloon that's always filled with quirky customers and even more eccentric staff.",7.8,Comedy,6.34,0
Cheese in the Trap,TV Show,South Korea,2019-10-01,2016,TV-14,1 Season,"In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side.",7.4,Romance,7.08,0
Chef's Table,TV Show,United States,2019-02-22,2019,TV-MA,6 Seasons,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.",8.6,Documentaries,7.03,0
Chelsea,TV Show,United States,2017-04-14,2017,TV-MA,2 Seasons,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.",6.1,Comedy,6.34,0
Chelsea Does,TV Show,United States,2016-01-23,2016,TV-MA,1 Season,"In a provocative documentary series, comedian Chelsea Handler confronts personal and cultural hang-ups around four topics that fascinate her.",7.2,Documentaries,7.03,0
Chelsea Handler: Uganda Be Kidding Me Live,Movie,United States,2014-10-10,2014,TV-MA,71 min,"In her first Netflix stand-up comedy special, Chelsea Handler recounts her African adventures (and provides hilarious photographic evidence).",5.8,Comedy,6.34,0
Chelsea Peretti: One of the Greats,Movie,United States,2014-11-14,2014,TV-MA,75 min,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special.",7.0,Comedy,6.34,0
Chennai Express,Movie,India,2018-08-31,2013,TV-14,135 min,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,6.0,Comedy,6.34,0
Chernobyl Diaries,Movie,United States,2018-08-01,2012,R,88 min,"A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps...",5.0,Horror,5.52,0
Chewin' the Fat,TV Show,United Kingdom,2016-10-01,1999,TV-14,1 Season,"Petty criminals, dodgy decorators, full-bore Glaswegians and oddball documentary presenters converge in this sketch show that parodies Scottish life.",8.2,Comedy,6.34,0
Chewing Gum,TV Show,United Kingdom,2017-04-04,2017,TV-MA,2 Seasons,"The virginal Tracey, who was raised in a strictly religious Tower Hamlets flat, is ready to realize her potential. And the first step is having sex.",7.7,Romance,7.08,0
Chicago Typewriter,TV Show,South Korea,2019-10-01,2017,TV-14,1 Season,A veterinarian and two writers have a mysterious connection to Korean independence fighters from the Japanese colonial period.,8.2,Romance,7.08,0
Chicken Kokkachi,Movie,India,2018-07-01,2017,TV-14,113 min,"In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done.",4.9,Comedy,6.34,0
Chicken Little,Movie,United States,2016-03-16,2005,G,82 min,No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!,5.7,Comedy,6.34,0
Chico Bon Bon: Monkey with a Tool Belt,TV Show,United States,2020-10-27,2020,TV-Y,4 Seasons,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems.",7.9,Children,6.47,0
Chief Daddy,Movie,Nigeria,2019-03-15,2018,TV-MA,98 min,"When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune.",4.9,Comedy,6.34,0
Child's Play,Movie,United States,2019-12-31,1988,R,87 min,"When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him.",6.6,Horror,5.52,0
Children of God,Movie,United Kingdom,2016-08-01,1994,TV-MA,63 min,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",6.3,Documentaries,7.03,0
Children of the Whales,TV Show,Japan,2018-03-13,2017,TV-14,1 Season,"As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island.",7.1,Anime,7.67,1
Chillar Party,Movie,India,2018-08-02,2011,TV-PG,127 min,"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.",7.4,Comedy,6.34,0
Chilling Adventures of Sabrina,TV Show,United States,2020-12-31,2020,TV-14,4 Seasons,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",7.6,Horror,5.52,0
Chip and Potato,TV Show,"United Kingdom, Canada",2019-11-29,2019,TV-Y,2 Seasons,"Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal.",6.9,Children,6.47,0
Chitty Chitty Bang Bang,Movie,"United Kingdom, United States",2020-01-01,1968,G,146 min,"Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.",6.9,Comedy,6.34,0
Chloe,Movie,"United States, Canada, France",2020-01-01,2009,R,96 min,"Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify.",6.3,Thrillers,5.85,0
Chocolate City: Vegas Strip,Movie,United States,2017-08-12,2017,TV-MA,90 min,"The exotic dancers from Chocolate City get back together for a trip to Las Vegas and a chance at $500,000 in prize money.",3.9,Drama,6.57,0
Chopsticks,Movie,India,2019-05-31,2019,TV-MA,101 min,A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.,6.5,Comedy,6.34,0
Chosen,TV Show,China,2019-10-17,2019,TV-14,2 Seasons,"When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything.",5.5,Crime,7.41,1
Chris Brown: Welcome to My Life,Movie,United States,2017-10-07,2017,TV-MA,80 min,"Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown.",5.7,Documentaries,7.03,0
Chris D'Elia: Incorrigible,Movie,United States,2015-04-17,2015,TV-MA,84 min,Stand-up comedian Chris D'Elia covers everything from how to improve the NFL to why dating is evil and that babies should grow up before they're born.,6.5,Comedy,6.34,0
Chris D'Elia: Man on Fire,Movie,United States,2017-06-27,2017,TV-MA,66 min,"Unbridled comic Chris D'Elia reconsiders his approach to major life events like marriage, not having kids and buying pants for your friends.",6.6,Comedy,6.34,0
Chris D'Elia: No Pain,Movie,United States,2020-04-14,2020,TV-MA,55 min,Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.,6.0,Comedy,6.34,0
Chris Rock: Tamborine,Movie,United States,2018-02-14,2018,TV-MA,65 min,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics.",6.5,Comedy,6.34,0
