Title,type,country,date_added,release_year,rating,IMDb,Genre,Growth Outcome
Ant-Man and the Wasp,Movie,United States,2019-01-29,2018,PG-13,7.1,Comedy,0
Best.Worst.Weekend.Ever.,TV Show,United States,2018-10-19,2018,TV-PG,6.3,Comedy,0
Bill Nye Saves the World,TV Show,United States,2018-05-11,2018,TV-14,3.6,Comedy,0
Bumping Mics with Jeff Ross & Dave Attell,TV Show,United States,2018-11-27,2018,TV-MA,7.7,Comedy,0
Champions,TV Show,United States,2019-03-08,2018,TV-14,6.0,Comedy,0
Chris Rock: Tamborine,Movie,United States,2018-02-14,2018,TV-MA,6.5,Comedy,0
Christopher Robin,Movie,United States,2019-03-05,2018,PG,7.3,Comedy,0
Class Rank,Movie,United States,2018-09-18,2018,TV-MA,6.4,Comedy,0
Club de Cuervos Presents: The Ballad of Hugo Sánchez,TV Show,United States,2018-06-18,2018,TV-MA,6.6,Comedy,0
D.L. Hughley: Contrarian,Movie,United States,2019-07-21,2018,TV-MA,6.5,Comedy,0
Daniel Sloss: Live Shows,TV Show,United States,2018-09-11,2018,TV-MA,8.6,Comedy,0
Demetri Martin: The Overthinker,Movie,United States,2019-07-21,2018,TV-MA,7.2,Comedy,0
Disjointed,TV Show,United States,2018-01-12,2018,TV-MA,6.7,Comedy,0
Dude,Movie,United States,2018-04-20,2018,TV-MA,5.1,Comedy,0
Dumplin',Movie,United States,2018-12-07,2018,PG-13,6.6,Comedy,0
Ellen DeGeneres: Relatable,TV Show,United States,2018-12-18,2018,TV-MA,6.5,Comedy,0
Everything Sucks!,TV Show,United States,2018-02-16,2018,TV-14,7.5,Comedy,0
Father of the Year,Movie,United States,2018-07-20,2018,TV-MA,5.2,Comedy,0
First Impression,Movie,United States,2019-05-17,2018,TV-14,6.1,Comedy,0
Gad Elmaleh: American Dream,Movie,United States,2018-03-06,2018,TV-14,7.2,Comedy,0
"Game Over, Man!",Movie,United States,2018-03-23,2018,TV-MA,5.4,Comedy,0
Goosebumps 2: Haunted Halloween,Movie,United States,2019-04-25,2018,PG,5.6,Comedy,0
Happy Anniversary,Movie,United States,2018-03-30,2018,TV-MA,5.7,Comedy,0
Hari Kondabolu: Warn Your Relatives,Movie,United States,2018-05-08,2018,TV-MA,6.4,Comedy,0
Harith Iskander: I Told You So,Movie,United States,2018-01-19,2018,TV-14,4.5,Comedy,0
Holly Star,Movie,United States,2019-11-01,2018,PG,5.1,Comedy,0
Home: Adventures with Tip & Oh,TV Show,United States,2018-07-20,2018,TV-Y7,5.8,Comedy,0
Hotel Transylvania 3: Summer Vacation,Movie,United States,2019-01-24,2018,PG,6.3,Comedy,0
Ibiza,Movie,United States,2018-05-25,2018,TV-MA,5.2,Comedy,0
Iliza Shlesinger: Elder Millennial,Movie,United States,2018-07-24,2018,TV-MA,7.2,Comedy,0
Jim Jefferies: This Is Me Now,Movie,United States,2018-07-13,2018,TV-MA,7.3,Comedy,0
John Mulaney: Kid Gorgeous at Radio City,Movie,United States,2018-05-01,2018,TV-MA,7.9,Comedy,0
Katt Williams: Great America,Movie,United States,2018-01-16,2018,TV-MA,6.1,Comedy,0
Kevin James: Never Don't Give Up,Movie,United States,2018-04-24,2018,TV-PG,6.1,Comedy,0
Lady-Like,Movie,United States,2019-01-18,2018,NC-17,6.0,Comedy,0
Lez Bomb,Movie,United States,2019-02-07,2018,TV-14,5.0,Comedy,0
Like Father,Movie,United States,2018-08-03,2018,TV-MA,6.1,Comedy,0
Love,TV Show,United States,2018-03-09,2018,TV-MA,7.7,Comedy,0
Maniac,TV Show,United States,2018-09-21,2018,TV-MA,7.8,Comedy,0
Maniac,TV Show,United States,2018-09-21,2018,TV-MA,7.0,Comedy,0
Marlon,TV Show,United States,2019-06-14,2018,TV-14,7.0,Comedy,0
Marlon Wayans: Woke-ish,Movie,United States,2018-02-27,2018,TV-MA,6.5,Comedy,0
Mo Amer: The Vagabond,Movie,United States,2018-10-09,2018,TV-MA,7.3,Comedy,0
Mystery Science Theater 3000: The Return,TV Show,United States,2018-11-22,2018,TV-14,8.0,Comedy,0
Nappily Ever After,Movie,United States,2019-03-07,2018,TV-MA,6.4,Comedy,0
Neo Yokio,TV Show,United States,2018-12-07,2018,TV-MA,5.8,Comedy,0
New Girl,TV Show,United States,2019-04-11,2018,TV-14,7.7,Comedy,0
Norm Macdonald Has a Show,TV Show,United States,2018-09-14,2018,TV-MA,8.7,Comedy,0
Party Monster: Scratching the Surface,Movie,United States,2018-08-17,2018,TV-14,7.0,Comedy,0
Portlandia,TV Show,United States,2019-09-25,2018,TV-14,7.8,Comedy,0
Private Life,Movie,United States,2018-10-05,2018,R,7.2,Comedy,0
Professor Mack,Movie,United States,2019-08-06,2018,TV-MA,4.2,Comedy,0
Puppy Star Christmas,Movie,United States,2018-11-20,2018,PG,4.0,Comedy,0
"Ron White: If You Quit Listening, I'll Shut Up",Movie,United States,2018-10-16,2018,TV-MA,6.5,Comedy,0
Set It Up,Movie,United States,2018-06-15,2018,TV-MA,6.5,Comedy,0
Seth Rogen's Hilarity for Charity,Movie,United States,2018-04-06,2018,TV-MA,5.0,Comedy,0
She's Gotta Have It,TV Show,United States,2019-05-24,2018,TV-MA,6.7,Comedy,0
Shine On with Reese,TV Show,United States,2019-10-29,2018,TV-MA,7.6,Comedy,0
Spider-Man: Into the Spider-Verse,Movie,United States,2019-06-26,2018,PG,8.4,Comedy,0
Stand Up and Away! with Brian Regan,TV Show,United States,2018-12-24,2018,TV-PG,5.8,Comedy,0
Step Sisters,Movie,United States,2018-01-19,2018,PG-13,5.4,Comedy,0
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Movie,United States,2018-05-25,2018,TV-14,7.1,Comedy,0
Swiped,Movie,United States,2019-07-01,2018,TV-14,3.6,Comedy,0
The Adventures of Puss in Boots,TV Show,United States,2018-01-26,2018,TV-Y7,6.7,Comedy,0
The After Party,Movie,United States,2018-08-24,2018,TV-MA,5.8,Comedy,0
The Ballad of Buster Scruggs,Movie,United States,2018-11-16,2018,R,7.3,Comedy,0
The Break with Michelle Wolf,TV Show,United States,2018-05-27,2018,TV-MA,5.2,Comedy,0
The Christmas Chronicles,Movie,United States,2018-11-22,2018,TV-PG,7.1,Comedy,0
The Comedy Lineup,TV Show,United States,2018-08-31,2018,TV-MA,5.7,Comedy,0
The Curious Creations of Christine McConnell,TV Show,United States,2018-10-12,2018,TV-PG,7.7,Comedy,0
The Feels,Movie,United States,2018-07-01,2018,TV-MA,5.1,Comedy,0
The Fix,TV Show,United States,2018-12-14,2018,TV-MA,7.1,Comedy,0
The Honeymoon Stand Up Special,TV Show,United States,2018-04-17,2018,TV-MA,6.8,Comedy,0
The Joel McHale Show with Joel McHale,TV Show,United States,2018-07-15,2018,TV-MA,7.3,Comedy,0
The Land of Steady Habits,Movie,United States,2018-09-14,2018,TV-MA,6.2,Comedy,0
The Legacy of a Whitetail Deer Hunter,Movie,United States,2018-07-06,2018,TV-14,5.5,Comedy,0
The Package,Movie,United States,2018-08-10,2018,TV-MA,5.5,Comedy,0
The Polka King,Movie,United States,2018-01-12,2018,TV-14,5.9,Comedy,0
The Standups,TV Show,United States,2018-03-20,2018,TV-MA,6.7,Comedy,0
The Week Of,Movie,United States,2018-04-27,2018,TV-14,5.1,Comedy,0
The Who Was? Show,TV Show,United States,2018-05-11,2018,TV-PG,6.5,Comedy,0
Todd Glass: Act Happy,Movie,United States,2018-01-23,2018,TV-MA,5.0,Comedy,0
Tom Segura: Disgraceful,Movie,United States,2018-01-12,2018,TV-MA,7.6,Comedy,0
Under the Eiffel Tower,Movie,United States,2019-09-23,2018,TV-MA,5.1,Comedy,0
Vir Das: Losing It,Movie,United States,2018-12-11,2018,TV-MA,7.0,Comedy,0
W. Kamau Bell: Private School Negro,Movie,United States,2018-06-26,2018,TV-MA,6.3,Comedy,0
We Bare Bears,TV Show,United States,2020-02-12,2018,TV-Y,7.9,Comedy,0
When We First Met,Movie,United States,2018-02-09,2018,TV-14,6.4,Comedy,0
Z Nation,TV Show,United States,2019-01-27,2018,TV-MA,6.7,Comedy,0
Cooking on High,TV Show,United States,2018-06-22,2018,TV-MA,4.9,Reality,0
Death by Magic,TV Show,United States,2018-11-30,2018,TV-PG,6.1,Reality,0
Made in Mexico,TV Show,United States,2018-09-28,2018,TV-MA,4.0,Reality,0
Slobby's World,TV Show,United States,2018-12-31,2018,TV-MA,5.8,Reality,0
Stay Here,TV Show,United States,2018-08-17,2018,TV-PG,7.6,Reality,0
The Final Table,TV Show,United States,2018-11-20,2018,TV-PG,7.7,Reality,0
Top Grier,TV Show,United States,2018-12-31,2018,TV-MA,5.6,Reality,0
Ultimate Beastmaster,TV Show,United States,2018-08-31,2018,TV-PG,7.3,Reality,0
Westside,TV Show,United States,2018-11-09,2018,TV-MA,5.8,Reality,0
F.R.E.D.I.,Movie,United States,2018-12-15,2018,TV-PG,5.0,Children,0
Kong: King of the Apes,TV Show,United States,2018-05-04,2018,TV-Y7,5.8,Children,0
Littlest Pet Shop: A World of Our Own,TV Show,United States,2019-02-01,2018,TV-Y7,6.4,Children,0
Mary Poppins Returns,Movie,United States,2019-07-09,2018,PG,6.7,Children,0
My Little Pony: Friendship Is Magic,TV Show,United States,2018-11-12,2018,TV-Y,7.6,Children,0
Solo: A Star Wars Story,Movie,United States,2019-01-09,2018,PG-13,6.9,Children,0
Splash and Bubbles,TV Show,United States,2018-08-13,2018,TV-Y,6.3,Children,0
Spy Kids: Mission Critical,TV Show,United States,2018-11-30,2018,TV-Y7,4.6,Children,0
Stretch Armstrong & the Flex Fighters,TV Show,United States,2018-09-07,2018,TV-Y7,6.5,Children,0
Stretch Armstrong: The Breakout,Movie,United States,2018-03-13,2018,TV-Y7,6.4,Children,0
The Magic School Bus Rides Again,TV Show,United States,2018-04-13,2018,TV-Y,6.2,Children,0
The Nutcracker and the Four Realms,Movie,United States,2019-05-28,2018,PG,5.5,Children,0
Voltron: Legendary Defender,TV Show,United States,2018-12-14,2018,TV-Y7,8.1,Children,0
Pierre Jackson,Movie,United States,2019-06-29,2018,TV-MA,6.0,Romance,1
Edge of Fear,Movie,United States,2018-11-01,2018,TV-MA,4.4,Thrillers,0
"My Teacher, My Obsession",Movie,United States,2018-09-10,2018,TV-14,4.4,Thrillers,0
Only Mine,Movie,United States,2019-01-15,2018,TV-14,4.7,Thrillers,0
Immortals,TV Show,Turkey,2019-03-08,2018,TV-MA,5.5,Drama,0
Resurrection: Ertugrul,TV Show,Turkey,2019-09-24,2018,TV-14,7.7,Drama,0
Deliha 2,Movie,Turkey,2019-09-27,2018,TV-PG,4.6,Comedy,0
22-Jul,Movie,Norway,2018-10-10,2018,R,6.8,Drama,1
Battle,Movie,Norway,2018-12-01,2018,TV-MA,6.0,Drama,1
Aalorukkam,Movie,India,2018-11-15,2018,TV-PG,6.9,Drama,0
Aiyaary,Movie,India,2018-05-15,2018,TV-MA,5.3,Drama,0
Asees,Movie,India,2018-11-01,2018,TV-14,7.4,Drama,0
Baazaar,Movie,India,2019-01-13,2018,TV-MA,6.7,Drama,0
Beyond the Clouds,Movie,India,2018-08-10,2018,TV-14,6.9,Drama,0
Bhavesh Joshi Superhero,Movie,India,2018-08-16,2018,TV-14,7.6,Drama,0
Bogda,Movie,India,2019-07-16,2018,TV-PG,7.3,Drama,0
Bucket List,Movie,India,2018-11-05,2018,TV-14,5.9,Drama,0
Bulbul Can Sing,Movie,India,2020-01-15,2018,TV-14,6.8,Drama,0
Eeda,Movie,India,2018-09-15,2018,TV-14,7.2,Drama,0
Evening Shadows,Movie,India,2019-02-27,2018,TV-PG,7.1,Drama,0
Garbage,Movie,India,2018-09-01,2018,TV-MA,3.3,Drama,0
Gemini,Movie,India,2018-07-01,2018,TV-PG,5.4,Drama,0
GHOUL,TV Show,India,2018-08-24,2018,TV-MA,7.1,Drama,0
Hamid,Movie,India,2019-05-15,2018,TV-MA,7.8,Drama,0
Imago,Movie,India,2019-03-20,2018,TV-PG,6.3,Drama,0
Jaoon Kahan Bata Ae Dil,Movie,India,2019-08-09,2018,TV-MA,6.1,Drama,0
Khido Khundi,Movie,India,2018-10-01,2018,TV-14,6.5,Drama,0
Kia and Cosmos,Movie,India,2019-05-01,2018,TV-14,6.8,Drama,0
Life of An Outcast,Movie,India,2019-02-25,2018,TV-PG,6.7,Drama,0
Lilli,Movie,India,2018-12-17,2018,TV-MA,5.8,Drama,0
Manto,Movie,India,2018-11-30,2018,TV-MA,7.4,Drama,0
Manu,Movie,India,2019-08-01,2018,TV-14,7.9,Drama,0
Mauli,Movie,India,2019-07-17,2018,TV-14,6.0,Drama,0
Merku Thodarchi Malai,Movie,India,2019-01-01,2018,TV-MA,8.6,Drama,0
Mr. Chandramouli,Movie,India,2018-10-18,2018,TV-MA,5.2,Drama,0
My Birthday Song,Movie,India,2018-07-01,2018,TV-14,5.5,Drama,0
Nathicharami,Movie,India,2019-01-28,2018,TV-MA,7.1,Drama,0
Neevevaro,Movie,India,2019-02-15,2018,TV-14,6.9,Drama,0
Once Again,Movie,India,2018-09-01,2018,TV-PG,7.1,Drama,0
Parmanu: The Story of Pokhran,Movie,India,2018-07-25,2018,TV-PG,7.7,Drama,0
Rainbow Jelly,Movie,India,2019-04-15,2018,TV-14,7.4,Drama,0
Sanju,Movie,India,2018-10-15,2018,TV-MA,7.8,Drama,0
Selection Day,TV Show,India,2018-12-28,2018,TV-14,7.3,Drama,0
Shonar Pahar,Movie,India,2019-02-22,2018,TV-PG,8.1,Drama,0
Soni,Movie,India,2019-01-18,2018,TV-MA,7.2,Drama,0
Soorma,Movie,India,2018-10-13,2018,TV-14,7.4,Drama,0
Teen Aur Aadha,Movie,India,2019-04-29,2018,TV-MA,6.8,Drama,0
Tottaa Pataaka Item Maal,Movie,India,2019-06-25,2018,TV-MA,7.9,Drama,0
Vanjagar Ulagam,Movie,India,2018-12-15,2018,TV-MA,6.2,Drama,0
Vodka Diaries,Movie,India,2019-12-31,2018,TV-14,5.6,Drama,0
W/O Ram,Movie,India,2018-10-26,2018,TV-MA,5.9,Drama,0
Zoo,Movie,India,2018-07-01,2018,TV-MA,6.8,Drama,0
Anjaan: Rural Myths,TV Show,India,2018-12-15,2018,TV-14,6.1,Horror,0
Anjaan: Special Crimes Unit,TV Show,India,2018-05-01,2018,TV-14,7.0,Horror,0
Lupt,Movie,India,2019-04-05,2018,TV-14,7.3,Horror,0
Savita Damodar Paranjpe,Movie,India,2018-11-15,2018,TV-14,6.0,Horror,0
Adhugo,Movie,India,2019-01-15,2018,TV-14,6.0,Comedy,0
Ee Nagaraniki Emaindi,Movie,India,2019-09-06,2018,TV-14,7.9,Comedy,0
Halkaa,Movie,India,2018-11-15,2018,TV-14,7.3,Comedy,0
Hope Aur Hum,Movie,India,2018-09-01,2018,TV-14,6.2,Comedy,0
Lust Stories,Movie,India,2018-06-15,2018,TV-MA,6.5,Comedy,0
Marriage Palace,Movie,India,2019-08-23,2018,TV-14,6.3,Comedy,0
Next Enti?,Movie,India,2019-01-09,2018,TV-14,4.6,Comedy,0
Njan Prakashan,Movie,India,2019-04-26,2018,TV-PG,7.6,Comedy,0
Odu Raja Odu,Movie,India,2018-11-15,2018,TV-14,7.2,Comedy,0
Rajma Chawal,Movie,India,2018-11-30,2018,TV-MA,5.8,Comedy,0
Sei,Movie,India,2019-03-25,2018,TV-14,4.2,Comedy,0
Stree,Movie,India,2019-06-07,2018,TV-MA,7.6,Comedy,0
Sudani from Nigeria,Movie,India,2018-08-01,2018,TV-14,8.2,Comedy,0
Truckbhar Swapna,Movie,India,2019-02-01,2018,TV-14,6.3,Comedy,0
Yeh Meri Family,TV Show,India,2018-08-31,2018,TV-PG,9.2,Comedy,0
Zero,Movie,India,2019-05-21,2018,TV-14,5.5,Comedy,0
Echcharikkai,Movie,India,2019-01-15,2018,TV-14,6.5,Thrillers,0
Euphoria,Movie,Italy,2019-11-01,2018,R,6.5,Drama,0
Forgive Us Our Debts,Movie,Italy,2018-05-04,2018,TV-MA,6.0,Drama,0
Happy as Lazzaro,Movie,Italy,2018-11-30,2018,PG-13,7.6,Drama,0
On My Skin,Movie,Italy,2018-09-12,2018,TV-MA,7.3,Drama,0
5 Star Christmas,Movie,Italy,2018-12-07,2018,TV-14,4.5,Comedy,0
44 Cats,TV Show,Italy,2020-10-01,2018,TV-Y7,6.4,Children,0
Boi,Movie,Spain,2019-07-26,2018,TV-MA,4.8,Drama,0
Gun City,Movie,Spain,2018-10-31,2018,TV-MA,6.3,Drama,0
If I Hadn't Met You,TV Show,Spain,2019-03-15,2018,TV-MA,7.7,Drama,0
Mirage,Movie,Spain,2019-03-22,2018,TV-MA,7.4,Drama,0
Quién te cantará,Movie,Spain,2019-02-28,2018,TV-MA,7.0,Drama,0
Sara's Notebook,Movie,Spain,2018-05-26,2018,TV-MA,5.9,Drama,0
Solo,Movie,Spain,2019-01-11,2018,TV-MA,7.1,Drama,0
The Skin of the Wolf,Movie,Spain,2018-07-06,2018,TV-MA,5.7,Drama,0
When Angels Sleep,Movie,Spain,2018-12-28,2018,TV-MA,5.4,Drama,0
Your Son,Movie,Spain,2019-03-01,2018,TV-MA,6.1,Drama,0
Animas,Movie,Spain,2019-01-25,2018,TV-MA,4.8,Horror,0
Errementari: The Blacksmith and the Devil,Movie,Spain,2018-10-12,2018,TV-MA,6.3,Horror,0
Victim Number 8,TV Show,Spain,2019-08-16,2018,TV-MA,7.1,Action & Adventure,0
Bitter Daisies,TV Show,Spain,2019-03-29,2018,TV-MA,7.2,Crime,1
Fugitiva,TV Show,Spain,2018-11-23,2018,TV-MA,5.6,Crime,1
Camarón: The Film,Movie,Spain,2018-07-18,2018,TV-14,7.3,Documentaries,1
Dying to Tell,Movie,Spain,2019-05-17,2018,TV-MA,6.7,Documentaries,1
Two Catalonias,Movie,Spain,2018-09-28,2018,TV-MA,6.5,Documentaries,1
El club de los buenos infieles,Movie,Spain,2018-07-19,2018,TV-MA,5.5,Comedy,0
In Family I Trust,Movie,Spain,2019-05-10,2018,TV-MA,6.2,Comedy,0
Jefe,Movie,Spain,2018-10-26,2018,TV-MA,5.4,Comedy,0
Paquita Salas,TV Show,Spain,2019-06-28,2018,TV-MA,8.0,Comedy,0
The Laws of Thermodynamics,Movie,Spain,2018-08-31,2018,TV-MA,6.0,Comedy,0
Yucatán,Movie,Spain,2019-02-15,2018,TV-MA,5.4,Comedy,0
Between Worlds,Movie,Spain,2019-04-06,2018,R,4.4,Thrillers,0
The Warning,Movie,Spain,2018-07-24,2018,TV-MA,5.9,Thrillers,0
Burning,Movie,South Korea,2019-04-29,2018,TV-MA,7.5,Drama,1
High Society,Movie,South Korea,2019-01-29,2018,TV-MA,5.3,Drama,1
Jo Pil-ho: The Dawning Rage,Movie,South Korea,2019-05-03,2018,TV-MA,6.2,Drama,1
Steel Rain,Movie,South Korea,2018-03-14,2018,TV-MA,7.1,Drama,1
The Drug King,Movie,South Korea,2019-02-21,2018,TV-MA,6.1,Drama,1
Rampant,Movie,South Korea,2019-05-26,2018,TV-MA,6.3,Horror,0
Illang: The Wolf Brigade,Movie,South Korea,2018-10-19,2018,TV-MA,6.0,Action & Adventure,1
Revenger,Movie,South Korea,2019-01-15,2018,TV-MA,5.7,Action & Adventure,1
Live,TV Show,South Korea,2019-02-05,2018,TV-MA,8.4,Crime,1
Memories of the Alhambra,TV Show,South Korea,2018-12-02,2018,TV-MA,7.8,Crime,1
Voice,TV Show,South Korea,2020-11-01,2018,TV-14,7.4,Crime,1
Psychokinesis,Movie,South Korea,2018-04-25,2018,TV-MA,5.9,Comedy,1
Skylanders Academy,TV Show,South Korea,2018-09-28,2018,TV-Y7,6.5,Comedy,1
The Sound of Your Heart: Reboot,TV Show,South Korea,2018-12-03,2018,TV-14,5.6,Comedy,1
YG Future Strategy Office,TV Show,South Korea,2018-10-05,2018,TV-MA,7.1,Comedy,1
Yoo Byung Jae: Discomfort Zone,Movie,South Korea,2018-08-17,2018,TV-MA,4.8,Comedy,1
Robot Trains,TV Show,South Korea,2019-12-31,2018,TV-Y7,5.4,Children,1
Treehouse Detectives,TV Show,South Korea,2018-11-09,2018,TV-Y,6.8,Children,1
Mr. Sunshine,TV Show,South Korea,2018-07-08,2018,TV-MA,8.8,Romance,1
Something in the Rain,TV Show,South Korea,2018-05-26,2018,TV-MA,8.1,Romance,1
Love for Sale,Movie,Indonesia,2019-10-06,2018,TV-14,7.4,Drama,1
Si Doel the Movie,Movie,Indonesia,2020-05-07,2018,TV-PG,7.1,Drama,1
May the Devil Take You,Movie,Indonesia,2018-11-15,2018,TV-MA,6.0,Horror,0
Sabrina,Movie,Indonesia,2018-11-20,2018,TV-MA,4.2,Horror,0
Suzzanna: Buried Alive,Movie,Indonesia,2019-04-03,2018,TV-MA,5.6,Horror,0
The 3rd Eye,Movie,Indonesia,2018-09-28,2018,TV-MA,5.1,Horror,0
Buffalo Boys,Movie,Indonesia,2019-04-12,2018,TV-MA,5.8,Action & Adventure,0
The Night Comes for Us,Movie,Indonesia,2018-10-19,2018,TV-MA,7.0,Action & Adventure,0
Target,Movie,Indonesia,2018-11-20,2018,TV-14,4.0,Comedy,0
A Fortunate Man,Movie,Denmark,2019-04-20,2018,TV-MA,7.2,Drama,1
Warrior,TV Show,Denmark,2018-11-13,2018,TV-MA,6.7,Crime,1
The Incredible Story of the Giant Pear,Movie,Denmark,2019-03-01,2018,TV-G,6.1,Children,1
Love and Fortune,TV Show,Japan,2018-11-30,2018,TV-MA,7.5,Drama,1
River's Edge,Movie,Japan,2019-03-02,2018,TV-MA,6.2,Drama,1
Switched,TV Show,Japan,2018-08-01,2018,TV-MA,7.2,Drama,1
The Could’ve-Gone-All-the-Way Committee,TV Show,Japan,2018-08-01,2018,TV-14,7.1,Drama,1
B: The Beginning,TV Show,Japan,2018-03-02,2018,TV-MA,7.2,Crime,1
Ingress: The Animation,TV Show,Japan,2019-04-30,2018,TV-MA,6.5,Crime,1
Smoking,TV Show,Japan,2018-07-27,2018,TV-MA,7.5,Crime,1
Jimmy: The True Story of a True Idiot,TV Show,Japan,2018-07-20,2018,TV-MA,6.4,Comedy,1
Mob Psycho 100,TV Show,Japan,2018-05-22,2018,TV-MA,5.1,Comedy,1
Ainori Love Wagon: Asian Journey,TV Show,Japan,2019-03-28,2018,TV-MA,6.9,Reality,1
Terrace House: Opening New Doors,TV Show,Japan,2019-03-12,2018,TV-14,7.8,Reality,1
Hikaru Utada Laughter in the Dark Tour 2018,Movie,Japan,2019-06-26,2018,TV-PG,8.6,Musicals,1
Violet Evergarden,TV Show,Japan,2019-02-05,2018,TV-14,8.4,Romance,1
Sirius the Jaeger,TV Show,Japan,2018-12-21,2018,TV-MA,6.8,Thrillers,1
Fate/EXTRA Last Encore,TV Show,Japan,2018-10-30,2018,TV-MA,5.3,Anime,1
Pop Team Epic,TV Show,Japan,2020-02-01,2018,TV-14,6.8,Anime,1
Record of Grancrest War,TV Show,Japan,2019-07-01,2018,TV-MA,7.2,Anime,1
Sword Art Online,TV Show,Japan,2020-10-01,2018,TV-MA,7.6,Anime,1
Sword Art Online Alternative: Gun Gale Online,TV Show,Japan,2019-02-01,2018,TV-MA,6.8,Anime,1
Cells at Work!,TV Show,Japan,2020-01-01,2018,TV-PG,7.6,Teen,1
The Disastrous Life of Saiki K.,TV Show,Japan,2019-03-01,2018,TV-14,8.3,Teen,1
Dark Tourist,TV Show,New Zealand,2018-07-20,2018,TV-MA,7.6,Documentaries,1
Merata: How Mum Decolonised the Screen,Movie,New Zealand,2019-05-12,2018,TV-14,6.9,Documentaries,1
The Breaker Upperers,Movie,New Zealand,2019-02-15,2018,TV-MA,5.9,Comedy,0
King of Boys,Movie,Nigeria,2019-09-21,2018,TV-MA,5.6,Drama,0
New Money,Movie,Nigeria,2020-04-14,2018,TV-14,4.8,Drama,0
Up North,Movie,Nigeria,2019-10-18,2018,TV-14,6.1,Drama,0
Chief Daddy,Movie,Nigeria,2019-03-15,2018,TV-MA,4.9,Comedy,0
Lionheart,Movie,Nigeria,2019-01-04,2018,TV-PG,5.6,Comedy,0
Merry Men: The Real Yoruba Demons,Movie,Nigeria,2019-09-21,2018,TV-MA,6.0,Comedy,0
Moms at War,Movie,Nigeria,2020-04-13,2018,TV-14,5.5,Comedy,0
The Ghost and the Tout,Movie,Nigeria,2020-02-14,2018,TV-14,2.9,Comedy,0
Here to Heart,TV Show,China,2018-10-23,2018,TV-14,8.0,Drama,1
Meteor Garden,TV Show,China,2018-07-14,2018,TV-14,8.2,Drama,1
Shadow,Movie,China,2019-11-06,2018,TV-14,6.5,Drama,1
Us and Them,Movie,China,2018-06-22,2018,TV-MA,7.3,Drama,1
Animal World,Movie,China,2018-09-28,2018,TV-MA,6.5,Action & Adventure,1
Operation Red Sea,Movie,China,2018-11-27,2018,TV-MA,6.7,Action & Adventure,1
The Rise of Phoenixes,TV Show,China,2018-09-14,2018,TV-14,8.6,Action & Adventure,1
Ashes of Love,TV Show,China,2018-12-16,2018,TV-14,8.5,Comedy,1
Duck Duck Goose,Movie,China,2018-07-20,2018,PG,5.7,Comedy,1
King of Peking,Movie,China,2018-07-02,2018,TV-14,6.2,Comedy,1
Next Gen,Movie,China,2018-09-07,2018,TV-PG,6.6,Comedy,1
Take My Brother Away,TV Show,China,2018-08-24,2018,TV-14,7.9,Comedy,1
Luo Bao Bei,TV Show,China,2019-08-31,2018,TV-Y,7.2,Children,1
At First Light,Movie,Canada,2018-12-27,2018,TV-14,5.5,Drama,0
Counterfeiting in Suburbia,Movie,Canada,2018-07-01,2018,TV-14,4.5,Drama,0
Frontier,TV Show,Canada,2018-11-23,2018,TV-MA,7.2,Drama,0
Paper Year,Movie,Canada,2019-04-20,2018,TV-MA,5.1,Drama,0
Ponysitters Club,TV Show,Canada,2018-11-16,2018,TV-G,6.7,Drama,0
Recall,Movie,Canada,2019-06-25,2018,TV-MA,2.7,Drama,0
Wynonna Earp,TV Show,Canada,2019-07-16,2018,TV-14,7.4,Drama,0
Lifechanger,Movie,Canada,2019-05-28,2018,TV-MA,5.4,Horror,0
The Open House,Movie,Canada,2018-01-19,2018,TV-MA,3.2,Horror,0
Trailer Park Boys,TV Show,Canada,2018-03-30,2018,TV-MA,8.4,Crime,1
Travelers,TV Show,Canada,2018-12-14,2018,TV-MA,8.1,Crime,1
3 Seconds Divorce,Movie,Canada,2019-06-15,2018,TV-PG,7.2,Documentaries,1
Invisible Essence: The Little Prince,Movie,Canada,2019-01-14,2018,TV-PG,7.5,Documentaries,1
Jack of all Trades,Movie,Canada,2019-07-16,2018,TV-MA,6.1,Documentaries,1
Playing Hard,Movie,Canada,2019-04-05,2018,TV-MA,6.1,Documentaries,1
The Accountant of Auschwitz,Movie,Canada,2019-07-01,2018,TV-14,7.3,Documentaries,1
Adventures in Public School,Movie,Canada,2018-08-15,2018,NR,5.8,Comedy,0
Birthmarked,Movie,Canada,2018-06-28,2018,TV-MA,5.7,Comedy,0
Kodachrome,Movie,Canada,2018-04-20,2018,TV-MA,6.8,Comedy,0
My Perfect Romance,Movie,Canada,2018-05-01,2018,PG,4.6,Comedy,0
Pup Star: World Tour,Movie,Canada,2018-05-05,2018,G,4.2,Comedy,0
The New Romantic,Movie,Canada,2019-04-15,2018,TV-MA,5.7,Comedy,0
Heavy Rescue: 401,TV Show,Canada,2018-06-22,2018,TV-MA,6.9,Reality,0
Dogs of Berlin,TV Show,Germany,2018-12-07,2018,TV-MA,7.5,Crime,1
Perfume,TV Show,Germany,2018-12-21,2018,TV-MA,7.1,Crime,1
Memory Games,Movie,Germany,2019-06-19,2018,TV-14,6.7,Documentaries,1
Enissa Amani: Ehrenwort,Movie,Germany,2018-04-26,2018,TV-MA,5.3,Comedy,0
